id,general_id
I - TÀI SẢN NGẮN HẠN_100,10001
1. Tiền và các khoản tương đương tiền_110,10002
1.1.Tiền_111,10003
1.2.Các khoản tương đương tiền_112,10004
2. Các khoản đầu tư tài chính ngắn hạn_120,10005
2.1. Chứng khoán kinh doanh_1201,10006
2.2. Dự phòng giảm giá chứng khoán kinh doanh_1202,10007
2.3. Đầu tư nắm giữ đến ngày đáo hạn_1203,10008
3. Các khoản phải thu ngắn hạn_130,10009
3.1.Phải thu khách hàng_131,10010
3.2.Trả trước cho người bán_132,10011
3.3. Phải thu nội bộ ngắn hạn_133,10012
3.4. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng_134,10013
3.5 Phải thu về cho vay ngắn hạn_135,10014
3.6. Các khoản phải thu khác_136,10015
3.7. Dự phòng phải thu ngắn hạn khó đòi_139,10016
3.8 Tài sản thiếu chờ xử lý_1391,10017
4. Hàng tồn kho_140,10018
4.1. Hàng tồn kho_141,10019
4.2. Dự phòng giảm giá hàng tồn kho_149,10020
5. Tài sản ngắn hạn khác_150,10021
5.1. Chi phí trả trước ngắn hạn_151,10022
5.2. Thuế GTGT được khấu trừ_152,10023
5.3. Thuế và các khoản khác phải thu Nhà nước_154,10024
5.4 Giao dịch mua bán lại trái phiếu Chính phủ_155,10025
5.5. Tài sản ngắn hạn khác_158,10026
II - TÀI SẢN DÀI HẠN_200,10027
1. Các khoản phải thu dài hạn_210,10028
1.1. Phải thu dài hạn của khách hàng_211,10029
1.2 Trả trước cho người bán dài hạn_212,10030
1.3. Vốn kinh doanh ở đơn vị trực thuộc_213,10031
1.4. Phải thu nội bộ dài hạn_213,10032
1.5 Phải thu về cho vay dài hạn_2131,10033
1.6. Phải thu dài hạn khác_218,10034
1.7. Dự phòng phải thu khó đòi_219,10035
2. Tài sản cố định_220,10036
2.1. Tài sản cố định hữu hình_221,10037
Nguyên giá_2211,10038
Giá trị hao mòn luỹ kế_2212,10039
2.2. Tài sản cố định thuê tài chính_222,10040
Nguyên giá_2221,10041
Giá trị hao mòn luỹ kế_2222,10042
2.3. Tài sản cố định vô hình_223,10043
Nguyên giá_2231,10044
Giá trị hao mòn luỹ kế_2232,10045
3. Bất động sản đầu tư_230,10046
Nguyên giá_2301,10047
Giá trị hao mòn luỹ kế_2302,10048
4. Tài sản dở dang dài hạn_240,10049
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn_24021",10050
2. Chi phí xây dựng cơ bản dở dang_24022,10051
5. Đầu tư tài chính dài hạn_250,10052
1. Đầu tư vào công ty con_251,10053
"2. Đầu tư vào công ty liên kết, liên doanh_252",10054
3. Đầu tư góp vốn vào đơn vị khác_253,10055
4. Dự phòng giảm giá đầu tư dài hạn_258,10056
5. Đầu tư nắm giữ đến ngày đáo hạn_259,10057
6. Tài sản dài hạn khác_260,10058
1. Chi phí trả trước dài hạn_261,10059
2. Tài sản thuế thu nhập hoãn lại_2611,10060
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn_2611",10061
4. Tài sản dài hạn khác_267,10062
"5. Ký quỹ, ký cược dài hạn_268",10063
6. Lợi thế thương mại_269,10064
Tổng cộng tài sản_001,10065
I - NỢ PHẢI TRẢ_300,10066
1. Nợ ngắn hạn_310,10067
1.1. Phải trả người bán ngắn hạn_312,10068
1.2. Người mua trả tiền trước ngắn hạn_313,10069
1.3.Thuế và các khoản phải nộp Nhà nước_314,10070
1.4. Phải trả người lao động_315,10071
1.5. Chi phí phải trả ngắn hạn_316,10072
1.6. Phải trả nội bộ ngắn hạn_317,10073
1.7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng_318,10074
1.8. Doanh thu chưa thực hiện ngắn hạn_3181,10075
1.9. Phải trả ngắn hạn khác_3182,10076
1.10. Vay và nợ thuê tài chính ngắn hạn_3183,10077
1.11. Dự phòng phải trả ngắn hạn_320,10078
"1.12 Quỹ khen thưởng, phúc lợi_3201",10079
1.13. Quỹ bình ổn giá_322,10080
1.14. Giao dịch mua bán lại trái phiếu Chính phủ_323,10081
2. Nợ dài hạn_330,10082
