id,name
30001,LƯU CHUYỂN TIỀN TỪ HOẠT ĐỘNG KINH DOANH
30002,Lợi nhuận (lỗ) trước thuế
30003,Điều chỉnh cho các khoản
30004,Khấu hao tài sản cố định
30005,Các khoản dự phòng
30006,"Lãi, lỗ từ đầu tư vào công ty liên kết"
30007,"Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện"
30008,"Lãi, lỗ từ hoạt động đầu tư/thanh lý tài sản cố định"
30009,Chi phí lãi vay
30010,Các khoản giảm trừ khác
30011,Thu nhập từ lãi tiền gửi
30012,Phân bổ lợi thế thương mại
30013,Lãi lỗ thanh lý tài sản cố định
30014,Lợi nhuận (lỗ) từ hoạt động kinh doanh trước thay đổi vốn lưu động
30015,"Tăng, giảm các khoản phải thu"
30016,"Tăng, giảm chứng khoán tự doanh"
30017,"Tăng, giảm hàng tồn kho"
30018,"Tăng, giảm các khoản phải trả (không bao gồm lãi vay, thuế thu nhập doanh nghiệp phải trả"
30019,"Tăng, giảm chi phí trả trước"
30020,Tiền lãi vay đã trả
30021,Thuế thu nhập doanh nghiệp đã nộp
30022,Tiền thu khác từ hoạt động kinh doanh
30023,Tiền chi khác cho hoạt động kinh doanh
30024,Tăng tài sản ngắn hạn khác
30025,Chênh lệch tỷ giá trong giai đoạn đầu tư
30026,Lưu chuyển tiền thuần từ hoạt động kinh doanh
30027,LƯU CHUYỂN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ
30028,"Tiền chi để mua sắm, xây dựng tài sản cố định"
30029,"Tiền thu do thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác"
30030,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác"
30031,"Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác"
30032,Tiền chi đầu tư góp vốn vào đơn vị khác
30033,Tiền thu do bán các khoản đầu tư góp vốn vào đơn vị khác
30034,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia"
30035,Tiền đầu tư xây dựng nhà xưởng
30036,Tăng lợi ích của cổ đông thiếu số khi hợp nhất công ty con
30037,Loại trừ lợi ích của cổ đông thiểu số khi thanh lý công ty con
30038,Tiền mặt tại công ty con mua trong năm
30039,Tiền thu do nhượng bán các khoản đầu tư vào công ty con
30040,Tiền chi gửi ngắn hạn
30041,Tiền thu lãi từ gửi ngắn hạn
30042,Tiền chi mua tài sản khác
30043,Giảm tiền gửi ngân hàng có kỳ hạn
30044,Tiền chi để mua thêm cổ phần của công ty con
30045,"Tiền thu từ các khoản ký gửi, ký quỹ dài hạn"
30046,Tiền gửi ngắn hạn
30047,Rút tiền gửi ngắn hạn
30048,Tiền thu từ chuyển quyền góp vốn vào dự án
30049,Lưu chuyển tiền thuần từ hoạt động đầu tư
30050,LƯU CHUYỂN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH
30051,"Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu"
30052,"Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp của doanh nghiệp đã phát hành"
30053,Tiền thu từ nhận góp vốn liên doanh
30054,"Tiền vay ngắn hạn, dài hạn nhận được"
30055,Tiền chi trả nợ gốc vay
30056,Tiền chi trả nợ thuê tài chính
30057,Tiền chi cho đầu tư ngắn hạn
30058,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu"
30059,"Cổ tức, lợi nhuận đã trả cho cổ đông thiểu số"
30060,Nhận vốn góp của cổ đông thiểu số
30061,Chi khác từ lợi nhuận chưa phân phối
30062,Tiền thu từ lãi tiền gửi
30063,Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động tài chính
30064,Lưu chuyển tiền thuần trong năm
30065,Tiền và tương đương tiền đầu năm
30066,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ
30067,Chênh lệch tỷ giá chuyển đối báo cáo tài chính
30068,Tiền và tương đương tiền cuối năm
