id,name
40001,Lưu chuyển tiền từ hoạt động kinh doanh
40002,Thu nhập lãi và các khoản thu nhập tương tự đạt được
40003,Chi phí lãi và các chi phí tương tự đã trả
40004,Thu nhập từ hoạt động dịch vụ nhận được
40005,"Chênh lệch số tiền thực thu / (thực chi) từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)"
40006,Thu nhập thuần từ chứng khoán kinh doanh và chứng khoán sẵn sàng để bán
40007,Thu nhập / (chi phí) khác
40008,"Tiền thu từ các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn dự phòng rủi ro"
40009,"Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ"
40010,Tiền thuế thu nhập thực nộp trong kỳ
40011,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi của tài sản và công nợ hoạt động
40012,Thay đổi tài sản hoạt động
40013,"(Tăng) / giảm tiền, vàng gửi và cho vay các tổ chức tín dụng khác"
40014,(Tăng) / giảm về kinh doanh chứng khoán
40015,(Tăng) / giảm các công cụ tài chính phái sinh và các khoản nợ tài chính khác
40016,(Tăng) / giảm các khoản cho vay khách hàng
40017,"Giảm nguồn dự phòng để bù đắp tổn thất các khoản (tín dung, chứng khoán, đầu tư dài hạn)"
40018,(Tăng) / giảm khác về tài sản hoạt động
40019,Thay đổi công nợ hoạt động
40020,Tăng / (giảm) nợ chính phủ và Ngân hàng Nhà nước Việt Nam
40021,Tăng / (giảm) tiền gửi và vay các tổ chức tín dụng
40022,Tăng / (giảm) tiền gửi của khách hàng
40023,"Tăng / (giảm) vốn tài trợ, ủy thác đầu tư, cho vay và Ngân hàng chịu rủi ro"
40024,Tăng / (giảm) phát hành giấy tờ có giá
40025,Tăng / (giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác
40026,Tăng / (giảm) khác về công nợ hoạt động
40027,Chi từ các quỹ
40028,Lưu chuyển tiền thuần từ hoạt động kinh doanh
40029,Lưu chuyển tiền từ hoạt động đầu tư
40030,Mua sắm tài sản cố định (*)
40031,"Tiền thu từ thanh lý, nhượng bán tài sản cố định"
40032,"Tiền chi từ thanh lý, nhượng bán tài sản cố định (*)"
40033,Mua sắm bất động sản đầu tư (*)
40034,"Tiền thu từ bán, thanh lý bất động sản đầu tư"
40035,"Tiền chi ra do bán, thanh lý bất động sản đầu tư (*)"
40036,"Tiền chi đầu tư, góp vốn vào các đơn vị khác (*)"
40037,"Tiền thu hồi đầu tư, góp vốn vào các đơn vị khác"
40038,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn"
40039,Lưu chuyển tiền thuần từ hoạt động đầu tư
40040,Tiền thu cổ tức đã có quyết định trả cổ tức năm trước
40041,Hoạt động đầu tư khác
40042,Lưu chuyển tiền tệ từ hoạt động tài chính
40043,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu
40044,Tiền thu từ phát hành giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác
40045,Tiền chi thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác (*)
40046,Cổ tức trả cho cổ đông và lợi nhuận đã chia (*)
40047,Tiền chi ra mua cổ phiếu quỹ (*)
40048,Tiền thu được do bán cổ phiếu quỹ
40049,Chi từ các quỹ
40050,Các khoản khác
40051,Lưu chuyển tiền thuần từ hoạt động tài chính
40052,Lưu chuyển tiền thuần trong kì
40053,Tiền và các khoản tương đương tiền tại thời điểm đầu kì
40054,Điều chỉnh ảnh hưởng của thay đổi tỷ giá
40055,Giảm tiền và các khoản tương đương tiền do thanh lý công ty con
40056,Tiền và các khoản tương đương tiền tại thời điểm cuối kì
