id,name
20001,Doanh thu bán hàng và cung cấp dịch vụ
20002,Các khoản giảm trừ doanh thu
20003,Doanh thu thuần về bán hàng và cung cấp dịch vụ
20004,Giá vốn hàng bán
20005,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ
20006,Doanh thu hoạt động tài chính
20007,Chi phí tài chính
20008,Trong đó: Chi phí lãi vay
20009,"Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết"
20010,Chi phí bán hàng
20011,Chi phí quản lý doanh nghiệp
20012,Lợi nhuận thuần từ hoạt động kinh doanh
20013,Thu nhập khác
20014,Chi phí khác
20015,Lợi nhuận khác
20016,Tổng lợi nhuận kế toán trước thuế
20017,Chi phí thuế TNDN hiện hành
20018,Chi phí thuế TNDN hoãn lại
20019,Lợi nhuận sau thuế thu nhập doanh nghiệp
20020,Lợi ích của cổ đông thiểu số
20021, Lợi nhuận sau thuế của công ty mẹ
20022,Lãi cơ bản trên cổ phiếu
20023,Lãi suy giảm trên cổ phiếu
20024,Cổ tức
